" 2009년 "," 발생건수 ","발생건수 1월","발생건수 2월","발생건수 3월","발생건수 4월","발생건수 5월","발생건수 6월","발생건수 7월","발생건수 8월","발생건수 9월","발생건수 10월","발생건수 11월","발생건수 12월"," 검거건수 ","검거인원 남","검거인원 여",,
" 식품위생법위반 ","10031","553","597","672","759","788","1241","1310","1056","941","673","759","682","9950","5037","8105",,
" 신용정보의이용및보호에관한법률위반 ","112","13","16","14","17","4","7","6","6","8","8","3","10","105","131","40",,
" 실용신안법위반 ","338","12","13","16","12","8","12","13","8","6","17","75","146","295","296","19",,
" 액화석유가스의안전관리및사업법위반 ","102","6","7","10","7","10","10","5","11","7","12","9","8","99","95","14",,
" 약사법위반 ","2385","215","293","130","172","243","280","330","202","182","141","93","104","2380","2121","790",,
" 여객자동차운수사업법위반 ","1688","81","146","155","97","98","125","185","200","214","138","101","148","1611","1901","125",,
" 여권법위반 ","54","2","1","8","5","3","5","11","7","2","2","5","3","50","33","57",,
" 여신전문금융업법위반 ","2874","157","637","238","218","239","202","246","178","171","188","190","210","2350","2481","543",,
" 오수.분뇨및축산폐수의처리에관한법률위반 "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - ",,
" 옥외광고물등관리법위반 ","978","83","56","79","65","62","108","109","91","118","70","61","76","869","844","118",,
" 외국환거래법위반 ","2920","528","395","204","189","297","332","188","214","156","120","136","161","2883","3058","1463",,
" 유사수신행위의규제에관한법률위반 ","1631","72","75","113","202","427","132","129","116","94","85","94","92","1470","3658","2032",,
" 유선및도선사업법위반 ","5"," - "," - "," - ","1","1","1"," - ","1"," - "," - ","1"," - ","4","5"," - ",,
" 유해화학물질관리법위반 ","751","56","57","63","75","81","67","63","72","69","54","53","41","747","879","162",,
" 윤락행위등방지법위반 ","6","2"," - "," - "," - "," - "," - ","2"," - "," - "," - "," - ","2","4","4","1",,
" 음반.비디오물및게임물에관한법률위반 ","341","17","22","39","26","16","34","47","59","21","24","15","21","344","334","53",,
" 의료법위반 ","2566","95","132","187","212","179","251","228","267","261","204","243","307","2531","2039","2194",,
" 자동차관리법위반 ","29062","2432","2006","1691","1677","2398","4662","4288","2957","2693","1788","1286","1184","28302","27284","2380",,
" 자동차손해배상보장법위반 ","553","22","38","42","45","47","63","57","49","56","46","46","42","496","552","65",,
" 자연공원법위반 ","154","12","12","12","13","17","16","15","6","15","7","17","12","152","151","30",,
" 저작권법위반 ","59109","8839","10255","8609","6278","4425","4403","3807","3786","2953","2249","1814","1691","46208","37047","10220",,
" 전기사업법위반 ","18","5","2","3","1"," - ","1","1"," - "," - ","2"," - ","3","15","16","1",,
" 전기통신기본법위반 ","15","1","1","1","2","2","1","1","2","2","1","1"," - ","13","14","3",,
" 전기통신사업법위반 ","36"," - ","2","1","3","1","3","2","4","9","6","4","1","33","44","4",,
" 전염병예방법위반 ","57","6","4","4","8","4","2","9","6","3","4","3","4","56","31","27",,
" 전투경찰대설치법위반 ","25","3","4","1","2","1","2","3","3","1","2","3"," - ","22","22"," - ",,
" 전파법위반 ","10"," - ","2"," - "," - ","1"," - ","2","3","2"," - "," - "," - ","9","24","1",,
" 정보통신망이용촉진등에관한법률위반 ","12394","682","728","767","721","605","1137","1212","1238","1373","1126","1253","1552","11191","11138","2233",,
