번호,의안명,제안자,제안일자,소관 위원회,위원회 회부일,위원회 의결일(상정일),위원회 처리결과,제안회기,본회의 의결일(상정일),본회의 처리결과,집행부 이송일,공포일자,공포번호,,,
958,광진구 풍수해저감 종합계획안 의견청취의 건,치수방재과,2011-11-14,복지건설,2011-11-24,2011-12-02,의견제시,제155회,2011-12-09,찬성의견,2011-12-12,없음,없음,,,
959,서울특별시 광진구 공무원 직무발명 보상 조례 전부개정조례안,구정정책연구단,2011-11-15,기획행정,2011-11-24,2011-12-02,수정가결,제155회,2011-12-09,수정가결,2011-12-12,2011-12-22,제746호,,,
960,서울특별시 광진구 구세 감면 조례 일부개정조례안,세무1과,2011-11-15,기획행정,2011-11-24,2011-12-02,원안가결,제155회,2011-12-09,원안가결,2011-12-12,2011-12-22,제747호,,,
961,서울특별시 광진구 자원봉사활동 지원 조례 일부개정조례안,주민생활지원과,2011-11-15,복지건설,2011-11-24,2011-12-02,수정가결,제155회,2011-12-09,수정가결,2011-12-12,2011-12-22,제748호,,,
962,2012년도 서울특별시 광진구 구유재산관리계획안(중곡4동청사 매각),재무과,2011-11-15,기획행정,2011-11-24,2011-12-02,원안가결,제155회,2011-12-09,원안가결,2011-12-12,없음,없음,,,
963,서울특별시 광진구 통반설치 조례 일부개정조례안,김기수,2011-11-17,기획행정,2011-11-24,2011-12-02,원안가결,제155회,2011-12-09,원안가결,2011-12-12,2011-12-22,제744호,,,
964,2012년도 일반특별회계 세입세출 예산안,기획공보과,2011-11-21,예결위,2011-11-24,2011-12-09,수정가결,제155회,2011-12-09,수정가결,2011-12-12,없음,없음,,,
965,2012년도 기금운용계획안,기획공보과,2011-11-21,예결위,2011-11-24,2011-12-09,수정가결,제155회,2011-12-09,수정가결,2011-12-12,없음,없음,,,
966,2011년~2015년 중기지방재정계획안,기획공보과,2011-11-21,본회의,없음,없음,없음,제155회,없음,보고,없음,없음,없음,,,
967,광진구청장 및 관계공무원 출석요구안,안문환,2011-11-23,본회의,없음,없음,원안가결,제155회,2011-11-25,원안가결,2011-11-25,없음,없음,,,
968,구의자양재정비촉진지구 자양4재정비촉진구역 재정비촉진계획 변경결정안 의견제시의 건,도시디자인과,2011-12-05,복지건설,2011-12-06,2011-12-07,의견제시,제155회,2011-12-09,찬성의견,2011-12-12,없음,없음,,,
969,서울특별시 광진구 공직자윤리위원회 구성 및 운영에 관한 조례 전부개정조례안,감사담당관,2012-01-10,기획행정,2012-01-20,2012-01-26,원안가결,제156회,2012-02-01,원안가결,2012-02-01,2012-02-14,제749호,,,
970,서울특별시 광진구 지방공무원 복무 조례 일부개정조례안,총무과,2012-01-10,기획행정,2012-01-20,2012-01-26,원안가결,제156회,2012-02-01,원안가결,2012-02-01,2012-02-14,제750호,,,
971,서울특별시 광진구민대상 조례 일부개정조례안,자치행정과,2012-01-10,기획행정,2012-01-20,2012-01-26,수정가결,제156회,2012-02-01,수정가결,2012-02-01,2012-02-14,제752호,,,
972,서울특별시 광진구 지방공무원 정원 조례 일부개정조례안,총무과,2012-01-17,기획행정,2012-01-20,2012-01-26,원안가결,제156회,2012-02-01,원안가결,2012-02-01,2012-02-14,제751호,,,
973,광진구청장 및 관계공무원 출석요구안,안문환,2012-01-26,본회의,없음,없음,원안가결,제156회,2012-01-26,원안가결,2012-01-26,2012-02-15,없음,,,
974,서울특별시 광진구 장애인생산품 우선구매 촉진 조례안,박성연,2012-01-31,없음,없음,없음,없음,없음,없음,계류중,없음,없음,없음,,,미상정
975,서울특별시 광진구 노인일자리 창출 지원 조례안,박성연,2012-01-31,복지건설,2014-04-13,2012-04-24,원안가결,제158회,2012-04-24,원안가결,2012-04-24,2012-05-15,제762호,,,
976,서울특별시 광진구 청년사회적기업 창업지원센터 설치 및 운영 조례안,박성연,2012-01-31,없음,없음,없음,없음,없음,없음,계류중,없음,없음,없음,,,미상정
977,2012년도 서울특별시 광진구 구유재산관리계획안(광장동 427-7외 3필지 취득),재무과,2012-02-14,기획행정,2012-02-16,2012-02-27,원안가결,제157회,2012-02-28,원안가결,2012-02-28,없음,없음,,,
978,서울특별시 광진구 행정기구 설치 조례 일부개정조례안,총무과,2012-02-13,기획행정,2012-02-16,2012-02-27,원안가결,제157회,2012-02-28,원안가결,2012-02-28,2012-02-29,제755호,,,
979,서울특별시 광진구 도로점용허가 및 점용료 등 징수 조례 일부개정조례안,건설관리과,2012-02-13,복지건설,2012-02-16,2012-02-27,원안가결,제157회,2012-02-28,원안가결,2012-02-28,2012-02-29,제756호,,,
980,(없음),없음,없음,없음,없음,없음,없음,없음,없음,없음,없음,없음,없음,,,
981,서울특별시 광진구 결산검사위원 선임 및 운영에 관한 조례 일부개정조례안,조영옥,2012-02-16,의회운영,2012-02-16,2012-02-27,원안가결,제157회,2012-02-28,원안가결,2012-02-28,2012-02-29,제754호,,,
982,서울특별시 광진구의회 정례회의 등 운영에 관한 조례 일부개정조례안,김기수,2012-02-16,의회운영,2012-02-16,2012-02-27,원안가결,제157회,2012-02-28,원안가결,2012-02-28,2012-02-29,제753호,,,
983,서울특별시 광진구의회 회의록의 발간 및 보존 등에 관한 규정 전부개정규정안,유성희,2012-02-16,의회운영,2012-02-16,2012-02-27,원안가결,제157회,2012-02-28,원안가결,없음,없음,없음,,,
984,서울특별시 광진구 자치법규의 입법에 관한 조례 전부개정조례안,기획공보과,2012-03-09,기획행정,2012-04-13,2014-04-24,원안가결,제158회,2012-04-24,원안가결,2012-04-24,2012-05-14,제757호,,,
985,서울특별시 광진구 맛집멋집심의위원회 설치 및 운영 조례안,보건위생과,2012-04-06,복지건설,2012-08-21,2012-08-31,수정가결,제162회,2012-09-03,수정가결,2012-09-03,2012-10-05,제768호,,,
986,서울특별시 광진구 노동복지센터 설치 및 운영에 관한 조례안,일자리지원과,2012-04-06,복지건설,2012-04-13,2014-04-24,원안가결,제158회,2012-04-24,원안가결,2012-04-24,2012-05-14,제759호,,,
987,서울특별시 광진구 지방공무원 정원 조례 일부개정조례안,총무과,2012-04-06,기획행정,2012-04-13,2014-04-24,원안가결,제158회,2012-04-24,원안가결,2012-04-24,2012-05-14,제760호,,,
988,서울특별시 광진구 지방별정직공무원의 임용 등에 관한 조례 일부개정조례안,총무과,2012-04-12,기획행정,2012-04-13,2014-04-24,원안가결,제158회,2012-04-24,원안가결,2012-04-24,2012-05-14,제761호,,,
989,서울특별시 광진구 유통기업상생발전 및 전통상업보존구역 지정 등에 관한 조례 일부개정조례안,지경원,2012-04-12,기획행정,2012-04-13,2014-04-24,수정가결,제158회,2012-04-24,부결,없음,없음,없음,,,
990,2012년도 행정사무감사특위 구성결의안,최금손,2012-04-13,없음,없음,없음,없음,제158회,2012-04-24,원안가결,2012-04-24,없음,없음,,,
991,2012년도 행정사무감사 계획서,행감특별위원장,2012-04-23,없음,없음,없음,없음,제158회,2012-04-24,승인,2012-04-24,없음,없음,,,
992,결산검사위원 선임의 건,없음,없음,없음,없음,없음,없음,제158회,없음,원안가결,없음,없음,없음,,,
993,서울특별시 광진구 유통기업상생발전 및 전통상업보존구역 지정 등에 관한 조례 일부개정조례안,지경원,2012-05-02,기획행정,2012-05-03,2012-05-08,원안가결,제159회,2012-05-08,원안가결,2012-05-11,2012-05-30,제763호,,,
994,서울특별시 광진구의회 회의규칙 일부개정규칙안,안문환,2012-05-31,의회운영,2012-06-04,2012-06-12,원안가결,제160회,2012-06-29,원안가결,2012-07-03,2012-07-12,제16호,,,
995,행정서비스헌장 제정 및 운영에 관한 조례,조영옥,2012-06-04,기획행정,2012-06-04,2012-06-12,원안가결,제160회,2012-06-29,원안가결,2012-07-03,2012-07-23,제765호,,,
996,주차장 설치 및 관리 조례 일부개정조례안,교통지도과,2012-06-04,복지건설,2012-06-04,2012-06-12,원안가결,제160회,2012-06-29,원안가결,2012-07-03,2012-07-19,제764호,,,
997,2011 예비비 승인안,기획예산과,2012-06-05,없음,2012-06-05,2012-06-12,원안가결,제160회,2012-06-29,승인,2012-07-03,없음,없음,,,
998,광진구청장 및 관계공무원 출석요구안,조영옥,2012-06-05,없음,없음,없음,없음,제160회,2012-06-11,원안가결,없음,없음,없음,,,
999,2011 세입세출 결산승인의 건,재무과,2012-06-04,없음,2012-06-15,2012-06-15,원안가결,제160회,2012-06-29,승인,2012-07-03,없음,없음,,,
1000,2012 행정사무감사 결과보고,행감특별위원장,2012-06-28,없음,2012-06-28,2012-06-28,원안가결,제160회,2012-06-29,원안가결,2012-07-03,없음,없음,,,
1001,서울특별시 광진구 사무위임 조례 일부개정조례안,기획예산과,2012-08-17,기획행정,2012-08-21,2012-08-30,원안가결,제162회,2012-09-03,원안가결,2012-09-03,2012-09-24,제766호,,,
1002,서울특별시 광진구 학생 치과주치의 및 저소득층 아동 의료지원 조례 ,보건의료과,2012-08-17,복지건설,2012-08-21,2012-08-31,원안가결,제162회,2012-09-03,원안가결,2012-09-03,2012-09-24,제766호,,,
1003,광진구 구유재산 관리계획안,재무과,2012-08-20,기획행정,2012-08-21,2012-08-30,원안가결,제162회,2012-09-03,원안가결,2012-09-03,없음,없음,,,
1004,광진구 마을공동체 지원 등에 관한 조례안,자치행정과,2012-08-21,기획행정,2012-08-21,2012-08-30,수정가결,제163회,2012-10-11,수정가결,2012-10-16,없음,없음,,,
1005,광진구 주민감사 청구에 관한 조례,조영옥,2012-08-21,기획행정,2012-08-21,없음,없음,제162회,없음,철회,없음,없음,없음,,,
1006,광진구보건소 진료비 및 수수료 조례 일부개정조례안,보건의료과,2012-09-19,복지건설,2012-10-10,2012-10-10,원안가결,제163회,2012-10-11,원안가결,2012-10-16,2012-11-08,제769호,,,
1007,광진구 유통기업상생발전 및 전통상업보존구역 지정 등에 관한 조례 일부개정조례안,일자리경제과,2012-09-19,기획행정,2012-09-27,2012-10-09,원안가결,제165회,2012-11-26,원안가결,2012-11-27,2012-12-06,제775호,,,
1008,광진구 체육시설의 설치 및 운영에 관한 조례 일부개정조례안,문화체육과,2012-09-19,기획행정,2012-10-09,2012-10-09,원안가결,제163회,2012-10-11,원안가결,2012-10-16,2012-11-08,제770호,,,
1009,광진구 에너지 기본 조례안,박삼례,2012-09-19,복지건설,2012-10-10,2012-10-10,원안가결,제163회,없음,원안폐기,없음,없음,없음,,,
1010,보안등 설치 및 유지관리 개선 건의안,복지건설위원회,2012-10-10,복지건설위원회,2012-10-10,2012-10-10,원안가결,제163회,2012-10-11,원안가결,2012-10-16,없음,없음,,,
1011,광진구 친환경 학교급식 지원에 관한 조례 일부개정조례안,교육지원과,2012-10-22,기획행정,2012-10-29,2012-11-01,원안가결,제164회,2012-11-05,원안가결,2012-11-05,2012-11-28,제772호,,,
1012,광진구 장학기금 관리 조례 전부개정조례안,교육지원과,2012-10-22,기획행정,2012-10-29,2012-11-01,원안가결,제164회,2012-11-05,원안가결,2012-11-05,2012-11-28,제773호,,,
1013,광진구립 사회복지시설 등 설치 및 위탁운영에 관한 조례 일부개정조례안,사회복지과,2012-10-22,복지건설,2012-10-29,2012-11-02,원안가결,제164회,2012-11-05,원안가결,2012-11-05,2012-11-28,제774호,,,
1014,광진구청장 및 관계공무원 출석요구안,안문환,없음,없음,없음,없음,없음,제164회,2012-10-29,원안가결,없음,없음,없음,,,
1015,어린이 안전활동 지원에 관한 조례,박성연,2012-11-15,없음,없음,없음,없음,제165회,없음,철회,없음,없음,없음,,,
1016,광진구의회 위원회 조례 일부개정조례안,김창현,2012-11-15,의회운영,2012-11-22,2012-12-05,수정가결,제165회,2012-12-13,수정가결,2012-12-14,2012-12-31,제778호,,,
1017,일본의 독도 영유권 주장 철회 촉구 결의안,김기수,2012-11-15,의회운영,2012-11-22,2012-12-05,원안가결,제165회,2012-12-13,원안가결,2012-12-14,없음,없음,,,
1018,공직선거법 준수를 위한 축부의금 제공 근절 결의안,김창현,2012-11-15,의회운영,2012-11-22,2012-12-05,부결,제165회,없음,부결,없음,없음,없음,,,
1019,서울특별시 광진구 구세 감면 조례 전부개정조례안,세무1과,2012-11-16,기획행정,2012-11-22,2012-12-04,원안가결,제165회,2012-12-13,원안가결,2012-12-14,없음,없음,,,
1020,서울특별시 광진구 장사 등에 관한 조례 일부개정조례안,사회복지과,2012-11-16,복지건설,2012-11-22,2012-11-29,수정가결,제165회,2012-12-13,수정가결,2012-12-14,2012-12-31,제779호,,,
1021,서울특별시광진구 폐기물관리조례  일부개정조례안,청소과,2012-11-16,복지건설,2012-11-22,2012-11-29,원안가결,제165회,2012-12-13,원안가결,2012-12-14,없음,없음,,,
1022,서울특별시 광진구 교통특구 운영 등에 관한 조례안,교통행정과,2012-11-16,복지건설,2012-11-22,2012-11-29,원안가결,제165회,2012-12-13,부결,2012-12-14,없음,없음,,,
1023,2013 세입세출예산안,기회예산과,2012-11-21,없음,2012-11-22,2012-12-05,수정가결,제165회,2012-12-13,수정가결,2012-12-14,없음,없음,,,
1024,2013 기금운용계획안,기회예산과,2012-11-21,없음,2012-11-22,2012-12-05,수정가결,제165회,2012-12-13,수정가결,2012-12-14,없음,없음,,,
1025,2012 추경 예산안,기회예산과,2012-11-21,없음,2012-11-22,2012-12-05,원안가결,제165회,2012-12-13,원안가결,2012-12-14,없음,없음,,,
1026,출석요구안 ,없음,2012-11-21,없음,없음,없음,없음,제165회,2012-12-13,원안가결,없음,없음,없음,,,
1027,서울특별시 광진구 에너지 기본 조례안(대안),박삼례,2012-11-27,복지건설,2012-11-27,2012-12-05,원안가결,제165회,2012-12-13,원안가결,2012-12-14,2012-12-31,제780호,,,
1028,2012년도 일반특별회계 세입세출 간주처리내역 보고,기획예산과,없음,없음,없음,없음,없음,제165회,없음,보고,없음,없음,없음,,,
1029,서울특별시 광진구 수수료 징수 조례 일부개정조례안,세무1과,2013-01-17,기획행정,2013-01-18,2013-02-04,원안가결,제166회,2013-02-07,원안가결,2013-02-08,2013-02-20,제781호,,,
1030,서울특별시 광진구 기금운용계획 변경안,기획예산과,2013-03-07,기획행정,2013-03-08,2013-03-21,원안가결,제167회,2013-03-25,수정가결,2013-03-25,없음,없음,,,
1031,주민참여예산제 운영에 관한 전부개정조례안,기획예산과,2013-03-07,기획행정,2013-03-08,2013-03-21,수정가결,제167회,2013-03-25,수정가결,2013-03-25,2013-04-08,제783호,,,
1032,광진구 영유아 보육조례 일부개정조례안,가정복지과,2013-03-07,복지건설,2013-03-08,2013-03-21,원안가결,제167회,2013-03-25,원안가결,2013-03-25,2013-04-08,제784호,,,
1033, 광진구 친환경상품 구매촉진 조례 일부개정조례안,환경과,2013-03-07,복지건설,2013-03-08,2013-03-21,원안가결,제167회,2013-03-25,원안가결,2013-03-25,2013-04-08,제785호,,,
1034,광진구 옥외광고물 등 관리 조례 전부개정조례안,도시디자인과,2013-03-07,복지건설,2013-03-08,2013-03-21,원안가결,제167회,2013-03-25,원안가결,2013-03-25,2013-04-08,제786호,,,
1035,광진구 교통특구 지정운영 등에 관한 조례안,교통행정과,2013-03-07,복지건설,2013-03-08,2013-03-21,원안가결,제167회,2013-03-25,원안가결,2013-03-25,2013-04-08,제787호,,,
1036,광진구청장 및 관계공무원 출석요구안,조영옥,2013-03-08,없음,없음,없음,없음,제167회,2013-03-15,가결,없음,없음,없음,,,
1037,2013년도 행정사무감사특위 구성결의안,없음,2013-04-15,없음,없음,없음,없음,제168회,2013-04-16,가결,없음,없음,없음,,,
1038,결산검사위원 선임의 건,없음,없음,없음,없음,없음,없음,제168회,2013-04-16,가결,없음,없음,없음,,,
1039,행정사무감사 특별위원회 계획서 승인의 건,없음,2013-04-23,행감특위,2013-04-23,2013-04-23,수정가결,제168회,2013-04-24,승인,없음,없음,없음,,,
1040,구유재산관리계획안,재무과,2013-05-27,기획행정,2013-05-29,없음,심사보류,없음,없음,보류,없음,없음,없음,,,
1041,2012회계년도 세입세출결산안 승인안,재무과,2013-05-27,예결위,2013-06-12,2013-06-14,원안가결,제169회,2013-06-28,승인,2013-07-02,없음,없음,,,
1042,2012회계년도 예비비사용 승인안,기획예산과,2013-05-27,예결위,2013-06-12,2013-06-14,원안가결,제169회,2013-06-28,승인,2013-07-02,없음,없음,,,
1043,서울특별시 광진구 공인 조례 일부개정조례안,민원여권과,2013-05-27,기획행정,2013-05-29,2013-06-27,원안가결,제169회,2013-06-28,원안가결,2013-07-02,2013-07-12,제789호,,,
1044,서울특별시 광진구 세입징수포상금 지급 조례 전부개정조례안,세무2과,2013-05-27,기획행정,2013-05-29,2013-06-27,원안가결,제169회,2013-06-28,원안가결,2013-07-02,2013-07-12,제790호,,,
1045,서울특별시 광진구 보훈회관 설치 및 운영에관한 조례안 ,복지정책과,2013-05-27,복지건설,2013-05-29,2013-06-13,원안가결,제169회,2013-06-28,원안가결,2013-07-02,2013-07-12,제791호,,,
1046,서울특별시 광진구 지역사회 복지협의체 설치 및 운영 조례 일부개정조례안,복지정책과,2013-05-27,복지건설,2013-05-29,2013-06-13,원안가결,제169회,2013-06-28,원안가결,2013-07-02,2013-07-12,제792호,,,
1047,서울특별시 광진구 여성발전 기본 조례일부개정조례안,가정복지과,2013-05-27,복지건설,2013-05-29,2013-06-13,원안가결,제169회,2013-06-28,원안가결,2013-07-02,2013-07-12,제793호,,,
1048,서울특별시 광진구 음식물류폐기물의 수집운반 및 재활용 촉진을 위한 조례 전부개정조례안,청소과,2013-05-27,복지건설,2013-05-29,2013-06-13,원안가결,제169회,2013-06-28,원안가결,2013-07-02,2013-07-12,제794호,,,
1049,서울특별시 광진구 주차장 설치 및 관리 조례 일부개정조례안,교통지도과,2013-05-27,복지건설,2013-05-29,2013-06-13,원안가결,제169회,2013-06-28,원안가결,2013-07-02,2013-07-12,제795호,,,
1050,서울특별시 광진구 치매지원센터 설치 및 운영 조례 일부개정조례안,건강관리과,2013-05-27,복지건설,2013-05-29,2013-06-13,원안가결,제169회,2013-06-28,원안가결,2013-07-02,2013-07-12,제796호,,,
1051,서울특별시 광진구 정신보건센터 설치 및 운영 조례 일부개정조례안,건강관리과,2013-05-27,복지건설,2013-05-29,2013-06-13,원안가결,제169회,2013-06-28,원안가결,2013-07-02,2013-07-12,제797호,,,
1052,서울특별시 광진구 자살예방 및 생명존중문화 조성을 위한 조례안,건강관리과,2013-05-27,복지건설,2013-05-29,2013-06-13,원안가결,제169회,2013-06-28,원안가결,2013-07-02,2013-07-12,제798호,,,
1053,자치회관 설치 및 운영 조례 일부개정조례안,이종만,2013-05-29,기획행정,2013-05-29,2013-06-27,수정가결,제169회,2013-06-28,수정가결,2013-07-02,2013-07-12,제788호,,,
1054,광진구청장 및 관계공무원 출석요구안,없음,없음,없음,없음,없음,없음,제169회,2013-06-10,원안가결,없음,없음,없음,,,
1055,구유재산관리계획안,재무과,2013-06-05,기획행정,2013-06-07,2013-06-27,원안가결,제169회,2013-06-28,원안가결,2013-07-02,없음,없음,,,
1056,2013 행감결과보고서,행감특별위원장,2013-06-27,행감특위,2013-06-27,2013-06-27,원안가결,제169회,2013-06-28,원안가결,2013-07-02,없음,없음,,,
1057,구유재산관리계획안,재무과,2013-08-02,기획행정,2013-08-21,2013-08-27,원안가결,제171회,2013-08-30,원안가결,2013-09-02,2013-09-16,없음,,,
1058,광진구 행정기구 설치 조례 일부개정조례안 ,총무과,2013-08-19,기획행정,2013-08-21,2013-08-27,원안가결,제171회,2013-08-30,원안가결,2013-09-02,2013-09-16,제799호,,,
1059,광진구 지방공무원 정원 조례 일부개정조례안,총무과,2013-08-19,기획행정,2013-08-21,2013-08-27,원안가결,제171회,2013-08-30,원안가결,2013-09-02,2013-09-16,제800호,,,
1060,광진구 유통기업상생발전 및 전통상업보존구역 지정 등에 관한 조례 일부개정조례안 ,일자리경제과,2013-08-19,기획행정,2013-08-21,2013-08-27,원안가결,제171회,2013-08-30,원안가결,2013-09-02,2013-09-16,제801호,,,
1061,광진구립 사회복지시설 등 설치 및 위탁운영에 관한 조례 일부개정조례안,복지정책과,2013-09-10,복지건설,2013-09-26,2013-10-01,원안가결,제172회,2013-10-04,원안가결,2013-10-07,2013-10-18,제802호,,,
1062,2013년도 1차 추경예산안,기획예산과,2013-09-25,예결위,2013-09-26,2013-10-01,원안가결,제172회,2013-10-04,원안가결,2013-10-07,없음,없음,,,
1063,중곡동 190-26일대(중곡아파트) 주택재건축 정비사업 정비구역 지정 및 정비계획 수립에 관한 의견청취의 건,주택과,2013-10-17,복지건설,2013-10-24,2013-11-04,가결,제173회,2013-11-06,가결,2013-11-07,없음,없음,,,
1064,서울특별시 광진구의회 정례회의 등 운영에 관한 조례 일부개정조례안,안문환,2013-10-22,의회운영,2013-10-24,2013-11-04,원안가결,제173회,2013-11-06,원안가결,2013-11-07,2013-11-21,제803호,,,
1065,서울특별시 광진구 옥외광고물 등 관리 조례 일부개정조례안,도시디자인과,2013-10-22,복지건설,2013-10-24,2013-11-04,원안가결,제173회,2013-11-06,원안가결,2013-11-07,2013-11-21,제804호,,,
1066,서울특별시 광진구 산사태 취약지역 지정위원회 설치 및 운영에 관한 조례안,공원녹지과,2013-10-22,복지건설,2013-10-24,2013-11-04,원안가결,제173회,2013-11-06,원안가결,2013-11-07,2013-11-21,제805호,,,
1067,서울특별시 광진구 도로점용 허가 및 점용료 등 징수 조례 일부개정조례안,건설관리과,2013-10-22,복지건설,2013-10-24,2013-11-04,원안가결,제173회,2013-11-06,원안가결,2013-11-07,2013-11-21,제806호,,,
1068,서울특별시 광진구 주차장 특별회계 설치 조례 일부개정조례안,교통지도과,2013-10-22,복지건설,2013-10-24,2013-11-04,원안가결,제173회,2013-11-06,원안가결,2013-11-07,2013-11-21,제807호,,,
1069,서울특별시 광진구사회복지사 등의 처우 및 지위향상에 관한 조례(안),조영옥,2013-10-23,복지건설,2013-10-24,2013-11-04,수정가결,제173회,2013-11-06,재심사회부,없음,없음,없음,,,제173회 에서 위원회 재심사 회부
-,서울특별시 광진구사회복지사 등의 처우 및 지위향상에 관한 조례(안)-재심사 회부-,없음,없음,복지건설,2013-11-28,2013-12-12,수정가결,제174회,2013-12-13,철회,없음,없음,없음,,,5차 본회의 철회
1070,서울특별시 광진구 새마을운동 조직 육성 및 지원 조례(안),박성연,2013-04-16,없음,없음,없음,없음,없음,없음,계류중,없음,없음,없음,,,미상정
1071,서울특별시 광진구 중증장애인생산품 우선구매 촉진 조례(안),박성연,2013-04-16,없음,없음,없음,없음,없음,없음,계류중,없음,없음,없음,,,미상정
1072,서울특별시 광진구 장애인 인권보장 및 차별금지에 관한 조례(안),박성연,2013-04-16,없음,없음,없음,없음,없음,없음,계류중,없음,없음,없음,,,미상정
1073,서울특별시 광진구 저소득 중증장애인가구 유료방송 이용요금 지원조례(안),박성연,2013-04-16,없음,없음,없음,없음,없음,없음,계류중,없음,없음,없음,,,미상정
1074,서울특별시 광진구 노인인권 보호에 관한 조례(안),박성연,2013-04-16,없음,없음,없음,없음,없음,없음,계류중,없음,없음,없음,,,미상정
1075,서울특별시 광진구 공동주택 지원 조례 일부개정조례(안),박성연,2013-11-14,제175회 의결(의안번호 1096)과 관련,없음,없음,없음,없음,없음,계류중,없음,없음,없음,,,미상정
1076,서울특별시 광진구 다문화가족 지원 조례 전부개정 조례(안),박성연,2013-11-14,없음,없음,없음,없음,없음,없음,계류중,없음,없음,없음,,,미상정
1077,구청장 및 관계공무원 출석요구안,안문환,2013-11-14,없음,2013-11-25,없음,없음,제174회,2013-11-25,원안가결,2013-11-25,없음,없음,,,
1078,2014년도 서울특별시 광진구 구유재산관리계획(안),광진구청장,2013-11-14,복지건설,2013-11-22,2013-12-03,원안가결,제174회,2013-12-13,원안가결,2013-12-16,없음,없음,,,
1079,서울특별시 인권 기본조례안,김기수,2013-11-14,기획행정,2013-11-22,2013-12-04,철회,제174회,없음,상임위 철회,없음,없음,없음,,,
1080,서울특별시 광진구 청년문화 활성화 지원 조례안,김기수,2013-11-14,기획행정,2013-11-22,2013-12-04,부결,제174회,없음,상임위 부결,없음,없음,없음,,,
1081,서울특별시 광진구 외국인주민 및 다문화가족 지원 조례안,조영옥,2013-11-14,복지건설,2013-11-22,2013-12-03,폐기(대안),제174회,없음,상임위 폐기,없음,없음,없음,,,
1082,서울특별시 광진구 계약심의위원회 구성 운영 및 주민참여 감독대상 공사범위 등에 관한 조례 일부개정조례안,김창현,2013-11-14,기획행정,2013-11-22,2013-12-04,원안가결,제174회,2013-12-13,원안가결,2013-12-16,2014-01-06,제810호,,,
1083,서울특별시 광진구 외국인주민 및 다문화가족 지원 조례안,박성연,2013-11-14,복지건설,2013-11-22,2013-12-03,폐기(대안),제174회,없음,상임위 폐기,없음,없음,없음,,,
1084,서울특별시 광진구 정원 조례 일부개정조례안,광진구청장,2013-11-15,기획행정,2013-11-22,2013-12-04,원안가결,제174회,2013-12-03,원안가결,2013-12-03,2013-12-10,제808호,,,
1085,서울특별시 광진구 구유재산 및 물품관리 조례 전부개정조례안,광진구청장,2013-11-15,기획행정,2013-11-22,2013-12-04,원안가결,제174회,2013-12-13,원안가결,2013-12-16,2014-01-06,제809호,,,
1086,서울특별시 부동산평가위원회 운영 조례 일부개정조례안,광진구청장,2013-11-15,복지건설,2013-11-22,2013-12-03,원안가결,제174회,2013-12-13,원안가결,2013-12-16,2014-01-06,제812호,,,
1087,광진구 장기미집행 도시계획시설 현황에 대한 의견청취 의 건,광진구청장,2013-11-25,복지건설,2013-11-22,2013-12-03,가결,제174회,2013-12-13,가결,2013-12-16,없음,없음,,,
1088,2014년도 일반 특별회계 세입 세출 예산안,광진구청장,2013-11-21,예결위,2013-12-04,2013-12-13,수정가결,제174회,2013-12-13,수정가결,2013-12-16,없음,없음,,,
1089,2014년도 기금운용계획안,광진구청장,2013-11-21,예결위,2013-12-04,2013-12-13,수정가결,제174회,2013-12-13,수정가결,2013-12-16,없음,없음,,,
1090,2013년도 제2회 일반 특별회계 세입 세출 추가경정예산안,광진구청장,2013-11-21,예결위,2013-12-04,2013-12-13,원안가결,제174회,2013-12-13,원안가결,2013-12-16,없음,없음,,,
1091,중기지방재정계획안,광진구청장,2013-11-21,없음,2013-11-25,없음,없음,제174회,2013-11-25,보고,2013-11-25,없음,없음,,,
1092,서울특별시 광진구 외국인주민 및 다문화가족 지원 조례안(대안),복지건설위원장,2013-11-28,복지건설위원회,해당없음,2013-12-03,원안가결,제174회,2013-12-13,원안가결,2013-12-16,2014-01-06,제811호,,,
1093,구의1동 236-40일대 주택재건축 정비예정구역 해에에 관한 의견청취의건,주택과,2014-01-23,복지건설위원회,2014-02-05,2014-02-18,가결(의견없음),제175회,2014-02-20,원안가결,2014-02-24,없음,없음,,,
1094,자양동 695일대(자양한양아파트) 주택재건축 정비사업 정비구역 지정 및 정비계획 수립에 관한  의견청취의 건,도시디자인과,2014-01-27,복지건설위원회,2014-02-05,2014-02-18,가결(의견없음),제175회,2014-02-20,원안가결,2014-02-24,없음,없음,,,
1095,서울특별시 광진구 기금관리 조례 일부개정조례안,기획예산과,2014-01-29,기획행정위원회,2014-02-05,2014-02-18,원안가결,제175회,2014-02-20,원안가결,2014-02-24,2014-03-12,제813호,,,
1096,서울특별시 광진구 공동주택지원 조례 일부개정조례(안),"박성연, 안문환, 유성희(대표발의 박성연)",2014-01-03,복지건설위원회,2014-02-05,2014-02-18,원안가결,제175회,2014-02-20,원안가결,2014-02-24,2014-03-12,제814호,,,
1097,서울특별시 광진구 기금관리 조례 일부개정조례안,"박성연, 공영목, 남옥희, 안문환, 이종만, 유성희(대표발의 박성연)",2014-03-05,복지건설위원회,2013-03-20,2014-03-27,원안가결,제176회,2014-03-28,원안가결,2014-04-02,2014-04-18,제816호,,,
1098,서울특별시 광진구 지방공무원 복무 조례 일부개정조례안,광진구청장(총무과),2014-03-07,기획행정위원회,2013-03-20,2014-03-27,원안가결,제176회,2014-03-28,원안가결,2014-04-02,2014-04-18,제815호,,,
