번호,의안명,제안자,제안일자,소관 위원회,위원회 회부일,위원회 의결일(상정일),위원회 처리결과,제안회기,본회의 의결일(상정일),본회의 처리결과,집행부 이송일,공포일자,공포번호,,,
62,서울특별시광진구도로복구원인자부담금징수조례안,도로과,1999-06-15,복지건설,1999-07-02,1999-07-16,없음,제39회 임시회,1999-07-20,원안가결,1999-07-26,1999.08.12,없음,,,
63,서울특별시광진구수입증지조례중개정조례안,재무과,1999-06-17,기획행정,1999-07-03,1999-07-16,없음,제39회 임시회,1999-07-20,원안가결,1999-07-26,1999.08.12,없음,,,
64,서울특별시광진구행정정보공개조례폐지조례안,민원정보과,1999-06-15,기획행정,1999-07-03,1999-07-16,없음,제39회 임시회,1999-07-20,원안가결,1999-07-26,1999.08.12,없음,,,
65,서울특별시광진구수수료징수조례중개정조례안,민원정보과,1999-06-15,기획행정,1999-07-03,1999-07-16,없음,제39회 임시회,1999-07-20,원안가결,1999-07-26,1999.08.12,없음,,,
66,서울특별시광진구주차장설치및관리조례중개정조례안,교통지도과,1999-06-15,복지건설,1999-07-02,1999-07-16,없음,제39회 임시회,1999-07-20,원안가결,1999-07-26,1999.08.12,없음,,,
67,서울특별시광진구보건소수가조례중개정조례안,건강관리과,1999-06-16,복지건설,1999-07-02,1999-07-16,없음,제39회 임시회,1999-07-20,원안가결,1999-07-26,1999.08.12,없음,,,
68,광나룻길버스노선원상회복결의안,유승주의원외3인,1999-06-14,본회의,없음,1999-07-21,없음,제38회 임시회,1999-06-21,원안채택,1999-06-22,없음,없음,,,
69,서울특별시광진구지역의료보험운영지원을위한조례중개정조례안,가정복지과,1999-06-16,복지건설,1999-07-02,1999-07-16,없음,제39회 임시회,1999-07-20,원안가결,1999-07-26,1999.08.12,없음,,,
70,서울특별시광진구의료보호기금특별회계설치및운용조례중개정조례안,가정복지과,1999-06-16,복지건설,1999-07-02,1999-07-16,없음,제39회 임시회,1999-07-20,원안가결,1999-07-26,1999.08.12,없음,,,
71,서울특별시광진구도시계획위원회조례중개정조례안,도시개발과,1999-07-02,복지건설,1999-07-02,없음,없음,본회의 상정 안함,없음,없음,없음,없음,없음,,,
72,최금손의원 징계동의안,박유관의원외5인,1999-07-16,없음,없음,없음,없음,없음,없음,없음,없음,없음,없음,,,
73,최금손의원 징계동의안에대한철회요구,박유관의원외5인,1999-07-20,없음,없음,없음,없음,없음,없음,없음,없음,없음,없음,,,
74,서울특별시광진구폐기물관리조례중개정조례안,청소행정과,1999-08-07,복지건설,1999-08-25,1999-09-03,없음,제40회 임시회,1999-09-09,원안가결,1999-09-10,1999.09.30,없음,,,
75,서울특별시광진구행정권한위임조례등중개정조례안,기획공보과,1999-08-05,기획행정,1999-08-25,1999-09-03,없음,제40회 임시회,1999-09-09,원안가결,1999-09-10,1999.09.30,없음,,,
76,서울특별시광진구정보화촉진조례안,민원정보과,1999-08-12,기획행정,1999-08-25,1999-09-03,없음,제40회 임시회,1999-09-09,원안가결,1999-09-10,1999.09.30,없음,,,
77,서울특별시광진구공중화장실설치및관리조례중개정조례안,청소행정과,1999-08-07,복지건설,1999-08-25,1999-09-03,없음,제40회 임시회,1999-09-09,원안가결,1999-09-10,1999.09.30,없음,,,
78,서울특별시광진구오수분료및축산폐수의처리에관한조례중개정조례안,청소행정과,1999-08-07,복지건설,1999-08-25,1999-09-03,없음,제40회 임시회,1999-09-09,원안가결,1999-09-10,1999.09.30,없음,,,
79,서울특별시광진구청소년통행금지구역·통행제한구역지정및운영에관한조례안,가정복지과,1999-08-10,복지건설,1999-08-25,1999-09-03,없음,제40회 임시회,1999-09-09,원안가결,1999-09-10,1999.09.14,없음,,,
80,서울특별시광진구중소기업육성기금설치및운용조례중개정조례안,지역경제과,1999-08-06,복지건설,1999-08-25,1999-09-03,없음,제40회 임시회,1999-09-09,원안가결,1999-09-10,1999.09.30,없음,,,
81,서울특별시광진구주민소득지원및생활안정기금운용관리조례중개정조례안,사회문화과,1999-08-14,기획행정,1999-08-25,1999-09-03,없음,제40회 임시회,1999-09-09,원안가결,1999-09-10,1999.09.30,없음,,,
82,서울특별시광진구새마을장학금지급조례중개정조례안,사회문화과,1999-08-14,기획행정,1999-08-25,1999-09-03,없음,제40회 임시회,1999-09-09,원안가결,1999-09-10,1999.09.30,없음,,,
83,99년도제1차~제19차일반·특별회계세입·세출예산간주처리내역보고의건,기획공보과,1999-08-20,기획행정,1999-08-25,없음,없음,제40회 임시회,1999-08-28,보 고,없음,없음,없음,,,
84,서울특별시광진구가축사육제한에관한조례중개정조례안,지역경제과,1999-08-20,복지건설,1999-08-25,1999-09-03,없음,제40회 임시회,1999-09-09,원안가결,1999-09-10,1999.09.30,없음,,,
85,서울특별시광진구세감면조례중개정조례안,세무1과,1999-08-20,기획행정,1999-08-25,1999-09-03,없음,제40회 임시회,1999-09-09,원안가결,1999-09-10,1999.09.30,없음,,,
86,서울특별시광진구행정기구설치조례중개정조례안,총무과,1999-08-20,기획행정,1999-08-25,1999-09-03,없음,제40회 임시회,1999-09-09,원안가결,1999-09-10,1999.09.20,없음,,,
87,서울특별시광진구지방공무원정원조례중개정조례안,총무과,1999-08-20,기획행정,1999-08-25,1999-09-03,없음,제40회 임시회,1999-09-09,수정가결,1999-09-10,1999.09.20,없음,,,
88,99년서울특별시광진구구유재산관리계획변경안,재무과,1999-08-20,기획행정,1999-08-25,1999-09-03,없음,제40회 임시회,1999-09-09,수정가결,1999-09-10,없음,없음,,,
89,99년도제1회일반·특별회계세입·세출추가경정예산안,기획공보과,1999-08-20,의회운영기획행정복지건설,1999-08-25,1999-09-03,없음,제40회 임시회,1999-09-09,수정가결,1999-09-10,없음,없음,,,
90,98회계년도일반·특별회계세입·세출결산승인안,재무과,1999-08-31,의회운영기획행정복지건설,1999-10-18,1999-10-25,없음,제41회 임시회,1999-10-27,원안가결,1999-10-27,없음,없음,,,
91,2000년도광진구구유재산관리계획안,재무과,1999-10-09,기획행정,1999-10-18,1999-10-25,없음,제41회 임시회,1999-10-27,원안가결,1999-10-27,없음,없음,,,
92,98년도일반·특별회계예비비지출승인안,기획공보과,1999-10-13,본회의,없음,없음,없음,제41회 임시회,1999-10-19,원안가결,없음,없음,없음,,,
93,서울특별시광진구노인복지기금설치및운용조례중개정조례안,가정복지과,1999-10-12,복지건설,1999-10-18,1999-10-25,없음,제41회 임시회,1999-10-27,원안가결,1999-10-27,1999.11.16,없음,,,
94,서울특별시광진구수수료징수조례중개정조례안,사회문화과,1999-10-12,기획행정,1999-10-18,1999-10-25,없음,제41회 임시회,1999-10-27,원안가결,1999-10-27,1999.11.16,없음,,,
95,서울특별시광진구공공하수도손괴등에대한과태료징수조례중개정조례안,하수과,1999-10-13,복지건설,1999-10-18,1999-10-25,없음,제41회 임시회,1999-10-27,원안가결,1999-10-27,1999.11.16,없음,,,
96,서울특별시광진구건축조례폐지조례안,건축행정과,1999-10-15,복지건설,1999-10-18,1999-10-25,없음,제41회 임시회,1999-10-27,원안가결,1999-10-27,1999.11.16,없음,,,
97,99년도서울특별시광진구도로굴착복구기금운용계획안,도로관리과,1999-10-15,복지건설,1999-10-18,1999-10-25,없음,제41회 임시회,1999-10-27,원안가결,1999-10-27,없음,없음,,,
98,99년도행정사무계획안,행정사무특별위원회,1999-10-23,행정사무특별위원회,없음,1999-10-25,없음,제41회 임시회,1999-10-27,원안채택,1999-10-27,없음,없음,,,
99,2000년도광진구구유재산관리계획변경안,재무과,1999-11-09,기획행정,1999-11-27,1999-12-09,없음,제42회 정기회,1999-12-20,원안가결,1999-12-22,없음,없음,,,
100,99년도제20차~제25차일반·특별회계세입·세출예산간추처리내역보고,기획공보과,1999-11-20,본회의,없음,없음,없음,제42회 정기회,1999-11-25,보 고,없음,없음,없음,,,
101,서울특별시광진구지방공무원정원조례중개정조례안,총무과,1999-11-24,기획행정,1999-11-27,1999-12-09,없음,제42회 정기회,1999-12-24,원안가결,1999-12-24,1999.12.27,없음,,,
102,99중기재정계획보고,기획공보과,1999-11-20,본회의,없음,없음,없음,제42회 정기회,1999-11-25,보 고,없음,없음,없음,,,
103,2000회계년도기금운용안,기획공보과,1999-11-20,기획행정복지건설,1999-11-27,1999-12-09,없음,제42회 정기회,1999-12-20,원안가결,1999-12-22,없음,없음,,,
104,2000년도일반·특별회계세입·세출예산안,기획공보과,1999-11-20,기획행정복지건설,1999-11-27,1999-12-09,없음,제42회 정기회,1999-12-20,수정가결,1999-12-22,없음,없음,,,
105,서울특별시광진구쓰레기줄이기와자원재활용촉진에관한조례중개정조례안,청소행정과,1999-11-23,복지건설,1999-11-27,1999-12-23,없음,제42회 정기회,1999-12-24,원안가결,1999-12-24,2000.01.13,없음,,,
106,서울특별시광진구음식물쓰레기수립운반및재활용촉진을위한조례중개정조례안,청소행정과,1999-11-23,복지건설,1999-11-27,1999-12-23,없음,제42회 정기회,1999-12-24,원안가결,1999-12-24,2000.01.13,없음,,,
107,광진구청장및관계공무원출석요구안,김선갑의원외3인,1999-11-24,본회의,없음,없음,없음,제42회 정기회,1999-11-25,출석요구,없음,없음,없음,,,
108,99년도제2회일반·특별회계세입·세출추가경정예산안,기획공보과,1999-11-23,기획행정복지건설,1999-11-27,1999-12-09,없음,제42회 정기회,1999-12-20,수정가결,1999-12-22,없음,없음,,,
109,2000년도일반·특별회계세입·세출예산안수정예산안,기획공보과,1999-12-16,기획행정복지건설,1999-11-27,1999-12-09,없음,제42회 정기회,1999-12-20,수정가결,1999-12-22,없음,없음,,,
110,99년도제26차~제29차일반·특별회계세입·세출예산간주처리내역보고,기획공보과,2000-01-04,본회의,없음,없음,없음,제43회 임시회,2000-02-16,보 고,없음,없음,없음,,,
111,서울특별시광진구공용및공공용의청사시설부지매입기금설치조례중개정조례안,총무과,2000-01-19,기획행정,2000-02-11,2000-02-28,없음,제43회 임시회,2000-02-28,원안가결,2000-03-02,2000.03.22,없음,,,
112,서울특별시광진구정보도서관설치및운영에관한조례안,사회문화과,2000-01-24,기획행정,2000-02-11,2000-02-28,없음,제43회 임시회,2000-02-28,수정가결,2000-03-02,2000.03.22,없음,,,
113,서울특별시광진구도시가스사업기금설치및운용조례중개정조례안,지역경제과,2000-01-24,복지건설,2000-02-11,2000-02-25,없음,제43회 임시회,2000-02-28,원안가결,2000-03-02,2000.03.22,없음,,,
114,서울특별시광진구중소기업육성기금설치및운영조례중개정조례안,지역경제과,2000-02-08,복지건설,2000-02-11,2000-02-25,없음,제43회 임시회,2000-02-28,원안가결,2000-03-02,2000.03.22,없음,,,
115,서울특별시광진구재활용품판매대금관리기금설치및운용조례중개정조례안,청소행정과,2000-02-08,복지건설,2000-02-11,2000-02-25,없음,제43회 임시회,2000-02-28,원안가결,2000-03-02,2000.03.22,없음,,,
116,서울특별시광진구폐기물관리조례중개정조례안,청소행정과,2000-02-08,복지건설,2000-02-11,2000-02-25,없음,제43회 임시회,2000-02-28,원안가결,2000-03-02,2000.03.22,없음,,,
117,서울특별시광진구환경미화원자녀학자금대여기금설치조례중개정조례안,청소행정과,2000-02-08,복지건설,2000-02-11,2000-02-25,없음,제43회 임시회,2000-02-28,원안가결,2000-03-02,2000.03.22,없음,,,
118,서울특별시광진구도로점용료징수조례중개정조례안,도로관리과,2000-02-08,복지건설,2000-02-11,2000-02-25,없음,제43회 임시회,2000-02-28,원안가결,2000-03-02,2000.03.22,없음,,,
119,서울특별시광진구구유재산관리조례중개정조례안,재무과,2000-02-08,기획행정,2000-02-11,2000-02-28,없음,제43회 임시회,2000-02-28,원안가결,2000-03-02,2000.03.22,없음,,,
120,서울특별시광진구물품관리조례중개정조례안,재무과,2000-02-08,기획행정,2000-02-11,2000-02-28,없음,제43회 임시회,2000-02-28,원안가결,2000-03-02,2000.03.22,없음,,,
121,2000년도제1차~제5차간주처리내역보고,기획공보과,2000-02-21,본회의,없음,없음,없음,제43회 임시회,2000-02-22,보회의보고,없음,없음,없음,,,
122,서울특별시광진구동문화복지관설치및운영조례안,총무과,2000-02-08,기획행정,2000-02-11,2000-02-28,없음,제43회 임시회,2000-02-28,위원회재심사회부,없음,없음,없음,,,
-,서울특별시광진구동문화복지관설치및운영조례안,총무과,2000-02-08,기획행정,없음,2000-05-04,없음,제44회 임시회,2000-05-04,위원회재심사보류,없음,없음,없음,,,
-,서울특별시광진구동문화복지관설치및운영조례안,총무과,2000-02-08,기획행정,없음,2000-10-14,없음,제48회 임시회,2000-10-14,수정가결,2000-10-16,2000.10.30,없음,,,
123,서울특별시광진구의회의원의의정활동비·회의수당과여비의지급에관한례중개정조례안,김선갑의원외5인,2000-02-08,의회운영,2000-02-11,2000-02-28,없음,제43회 임시회,2000-02-28,원안가결,2000-03-02,2000.03.22,없음,,,
124,2000년도제1회일반회계세입·세출추가경정예산안,기획공보과,2000-02-21,의회운영기획행정복지건설,2000-02-22,2000-02-28,없음,제43회 임시회,2000-02-28,수정가결,2000-03-02,없음,없음,,,
125,구비보조금지원단체에대한조사특별위원회회의소집요구안,오재중의원외3인,2000-03-11,구비특위,없음,없음,없음,없음,없음,없음,없음,없음,없음,,,
126,서울특별시광진구지방청소년위원회구성및운영에관한조례중개정조례안,가정복지과,2000-03-28,복지건설,2000-04-21,2000-05-03,없음,제44회 임시회,2000-05-04,위원회재회부,2000-05-08,없음,없음,,,
-,서울특별시광진구지방청소년위원회구성및운영에관한조례중개정조례안,가정복지과,2000-03-28,복지건설,2000-06-16,2000-06-27,없음,제45회 제1차 정례회,2000-06-30,수정가결,2000-06-30,2000.07.20,없음,,,
127,서울특별시광진구주민감사청구에관한조례안,감사담당관,2000-04-17,기획행정,2000-04-21,2000-05-04,없음,제44회 임시회,2000-05-04,원안가결,2000-05-08,2000.05.24,없음,,,
128,서울특별시광진구지방공무원복무조례중개정조례안,총무과,2000-04-17,기획행정,2000-04-21,2000-05-04,없음,제44회 임시회,2000-05-04,원안가결,2000-05-08,2000.05.24,없음,,,
129,서울특별시광진구의회정례회의운영에관한조례안,김선갑의원외5인,2000-04-17,의회운영,2000-04-21,2000-05-04,없음,제44회 임시회,2000-05-04,수정가결,2000-05-08,2000.05.09,없음,,,
130,서울특별시광진구행정사무감사및조사에관한조례중개정조례안,김선갑의원외5인,2000-04-17,의회운영,2000-04-21,2000-05-04,없음,제44회 임시회,2000-05-04,원안가결,2000-05-08,2000.05.24,없음,,,
131,서울특별시광진구의회결산검사위원선임및운영에관한조례중개정조례안,김선갑의원외5인,2000-04-17,의회운영,2000-04-21,2000-05-04,없음,제44회 임시회,2000-05-04,원안가결,2000-05-08,2000.05.09,없음,,,
132,서울특별시광진구세감면조례중개정조례안,세무1과,2000-04-19,기획행정,2000-04-21,2000-05-04,없음,제44회 임시회,2000-05-04,원안가결,2000-05-08,2000.05.24,없음,,,
