업체명,법인기업여부,최종업종코드,최종업종명,보증취급일자,취급종류,자금용도,보증상대처,보증금액범위
비****,여,G46522,통신ㆍ방송장비 및 부품 도매업,2020-05-14,대출보증,운전자금,기업은행,1억이상 3억미만
제****,여,G46739,기타 화학물질 및 화학제품 도매업,2020-09-14,대출보증,운전자금,기업은행,1억이상 3억미만
모****,여,J58222,응용 소프트웨어 개발 및 공급업,2020-10-16,대출보증,운전자금,기업은행,1억이상 3억미만
모****,여,J58222,응용 소프트웨어 개발 및 공급업,2020-10-19,대출보증,운전자금,기업은행,1억이상 3억미만
시****,부,F42412,"도배, 실내장식 및 내장 목공사업",2020-09-18,대출보증,운전자금,신한은행,1억이상 3억미만
강****,부,M71202,세무사업,2020-08-27,대출보증,운전자금,기업은행,1억이상 3억미만
크****,여,S96911,산업용 세탁업,2020-07-03,대출보증,운전자금,신한은행,1억이상 3억미만
상****,여,G46612,"골재, 벽돌 및 시멘트 도매업",2020-03-13,대출보증,운전자금,기업은행,1억이상 3억미만
중****,여,G46699,그 외 기타 건축자재 도매업,2020-08-26,대출보증,운전자금,신한은행,1억이상 3억미만
바****,여,G46103,"섬유, 의복, 신발 및 가죽제품 중개업",2020-03-30,대출보증,운전자금,기업은행,1억미만
제****,여,G45213,자동차 내장용 신품 전기ㆍ전자ㆍ 정밀 기기 판매업,2020-08-12,대출보증,운전자금,신한은행,5억이상
다****,여,C28122,전기회로 접속장치 제조업,2020-08-13,대출보증,운전자금,신한은행,1억이상 3억미만
리****,여,J58222,응용 소프트웨어 개발 및 공급업,2020-03-11,대출보증,운전자금,기업은행,1억미만
디****,여,C10122,육류 포장육 및 냉동육 가공업 (가금류 제외),2020-07-30,대출보증,운전자금,기업은행,1억이상 3억미만
우****,부,G47811,의약품 및 의료용품 소매업,2020-10-19,대출보증,운전자금,기업은행,3억이상 5억미만
신****,부,G47811,의약품 및 의료용품 소매업,2020-10-22,대출보증,운전자금,기업은행,5억이상
에****,여,M71399,그 외 기타 광고 관련 서비스업,2020-04-16,대출보증,운전자금,기업은행,1억미만
로****,여,J62021,컴퓨터시스템 통합 자문 및 구축 서비스업,2020-09-11,대출보증,운전자금,신한은행,1억이상 3억미만
바****,여,G46522,통신ㆍ방송장비 및 부품 도매업,2020-04-10,대출보증,운전자금,기업은행,1억미만
칠****,부,G47711,운송장비용 주유소 운영업,2020-04-16,대출보증,운전자금,기업은행,1억이상 3억미만
화****,여,C27192,정형외과용 및 신체보정용 기기 제조업,2020-04-22,대출보증,운전자금,신한은행,1억미만
거****,여,G46102,음ㆍ식료품 및 담배 중개업,2020-05-18,대출보증,운전자금,신한은행,1억이상 3억미만
삼****,여,C10122,육류 포장육 및 냉동육 가공업 (가금류 제외),2020-05-25,대출보증,운전자금,신한은행,1억이상 3억미만
새****,여,G46441,의약품 도매업,2020-04-22,대출보증,운전자금,기업은행,5억이상
칼****,여,F42411,도장 공사업,2020-06-05,대출보증,운전자금,기업은행,1억이상 3억미만
갤****,여,G47852,애완용 동물 및 관련용품 소매업,2020-04-17,대출보증,운전자금,기업은행,1억이상 3억미만
올****,여,G46329,기타 가공식품 도매업,2020-09-23,대출보증,운전자금,대구은행,3억이상 5억미만
우****,여,G46499,그 외 기타 생활용품 도매업,2020-05-08,대출보증,운전자금,기업은행,1억이상 3억미만
문****,여,M71310,광고 대행업,2020-10-28,대출보증,운전자금,기업은행,1억이상 3억미만
타****,여,G46323,"빵류, 과자류, 당류, 초콜릿 도매업",2020-04-09,대출보증,운전자금,기업은행,5억이상
광****,부,C25929,그 외 기타 금속가공업,2020-09-21,대출보증,운전자금,기업은행,1억이상 3억미만
메****,여,C13221,침구 및 관련제품 제조업,2020-06-03,대출보증,운전자금,신한은행,1억이상 3억미만
우****,여,F42492,건물용 금속공작물 설치 공사업,2020-04-16,대출보증,운전자금,기업은행,1억이상 3억미만
더****,여,G46315,"신선, 냉동 및 기타 수산물 도매업",2020-01-15,대출보증,운전자금,기업은행,3억이상 5억미만
우****,여,C22259,기타 플라스틱 발포 성형제품 제조업,2020-08-19,대출보증,운전자금,기업은행,3억이상 5억미만
미****,여,G46329,기타 가공식품 도매업,2020-02-05,대출보증,운전자금,기업은행,1억미만
아****,여,C30399,그 외 자동차용 신품 부품 제조업,2020-09-29,대출보증,운전자금,기업은행,1억이상 3억미만
해****,여,C33991,단추 및 유사 파스너 제조업,2020-10-19,대출보증,운전자금,기업은행,3억이상 5억미만
엠****,여,G46521,가전제품 및 부품 도매업,2020-02-19,대출보증,운전자금,기업은행,1억미만
지****,여,G46326,조미료 도매업,2020-03-12,대출보증,운전자금,기업은행,1억이상 3억미만
윤****,여,C13402,"직물, 편조원단 및 의복류 염색 가공업",2020-04-07,대출보증,운전자금,기업은행,1억이상 3억미만
선****,여,C28410,전구 및 램프 제조업,2020-03-16,대출보증,운전자금,기업은행,1억미만
에****,여,G46595,전기용 기계ㆍ장비 및 관련 기자재 도매업,2020-07-23,대출보증,운전자금,기업은행,1억이상 3억미만
키****,여,R91299,그 외 기타 분류 안된 오락관련 서비스업,2020-03-09,대출보증,운전자금,기업은행,1억미만
에****,여,C14411,스타킹 및 기타 양말 제조업,2020-05-08,대출보증,운전자금,신한은행,5억이상
아****,여,G46591,사무용 가구 및 기기 도매업,2020-10-05,대출보증,운전자금,대구은행,1억미만
여****,부,G47711,운송장비용 주유소 운영업,2020-12-01,대출보증,운전자금,신한은행,1억미만
지****,여,G46791,재생용 재료 수집 및 판매업,2020-11-18,대출보증,운전자금,기업은행,1억이상 3억미만
우****,여,M72121,건물 및 토목 엔지니어링 서비스업,2020-10-15,대출보증,운전자금,기업은행,1억이상 3억미만
에****,여,C25119,기타 구조용 금속제품 제조업,2020-06-16,대출보증,운전자금,기업은행,1억이상 3억미만
친****,부,G47312,통신기기 소매업,2020-07-01,대출보증,운전자금,신한은행,1억이상 3억미만
에****,여,P85501,일반 교과 학원,2020-03-25,대출보증,운전자금,기업은행,1억미만
트****,여,G47912,전자상거래 소매업,2020-03-18,대출보증,운전자금,기업은행,1억이상 3억미만
이****,여,M71531,경영 컨설팅업,2020-12-07,대출보증,운전자금,신한은행,1억미만
엘****,여,M71393,"광고물 문안, 도안, 설계 등 작성업",2020-09-23,대출보증,운전자금,신한은행,1억이상 3억미만
버****,여,G46419,기타 생활용 섬유 및 직물제품 도매업,2020-08-04,대출보증,운전자금,기업은행,1억미만
토****,여,G47414,셔츠 및 블라우스 소매업,2020-07-10,대출보증,운전자금,신한은행,1억미만
비****,여,G47312,통신기기 소매업,2020-04-22,대출보증,운전자금,기업은행,1억미만
와****,여,G46331,주류 도매업,2020-03-20,대출보증,운전자금,기업은행,1억이상 3억미만
씨****,여,G47129,기타 음ㆍ식료품 위주 종합 소매업,2020-06-11,대출보증,운전자금,기업은행,1억이상 3억미만
에****,여,N74100,사업시설 유지ㆍ관리 서비스업,2020-08-27,대출보증,운전자금,기업은행,1억이상 3억미만
렌****,여,G46109,상품 종합 중개업,2020-03-18,대출보증,운전자금,기업은행,1억이상 3억미만
대****,여,G46599,그 외 기타 기계 및 장비 도매업,2020-07-10,대출보증,운전자금,신한은행,1억이상 3억미만
이****,여,C28123,배전반 및 전기 자동제어반 제조업,2020-10-27,대출보증,운전자금,기업은행,1억미만
제****,여,G46510,"컴퓨터 및 주변장치, 소프트웨어 도매업",2020-09-01,대출보증,운전자금,기업은행,1억이상 3억미만
제****,여,G46510,"컴퓨터 및 주변장치, 소프트웨어 도매업",2020-09-03,대출보증,운전자금,기업은행,1억이상 3억미만
제****,여,G46510,"컴퓨터 및 주변장치, 소프트웨어 도매업",2020-12-16,대출보증,운전자금,기업은행,1억미만
조****,여,G45219,기타 자동차 신품 부품 및 내장품 판매업,2020-04-24,대출보증,운전자금,기업은행,1억미만
모****,여,G46622,"철물, 금속 파스너 및 수공구 도매업",2020-06-15,대출보증,운전자금,기업은행,1억미만
조****,부,G46313,육류 도매업,2020-03-03,대출보증,운전자금,기업은행,1억이상 3억미만
조****,부,G46313,육류 도매업,2020-03-05,대출보증,운전자금,기업은행,1억이상 3억미만
이****,여,G46599,그 외 기타 기계 및 장비 도매업,2020-12-08,대출보증,운전자금,기업은행,1억이상 3억미만
나****,여,G46442,의료용품 도매업,2020-02-27,대출보증,운전자금,기업은행,1억이상 3억미만
마****,여,I56123,서양식 음식점업,2020-03-19,대출보증,운전자금,기업은행,1억이상 3억미만
동****,여,C24191,"도금, 착색 및 기타 표면처리강재 제조업",2020-03-19,대출보증,운전자금,기업은행,1억미만
피****,여,C29271,반도체 제조용 기계 제조업,2020-06-05,대출보증,운전자금,기업은행,1억이상 3억미만
황****,여,G46313,육류 도매업,2020-07-21,대출보증,운전자금,신한은행,1억이상 3억미만
스****,여,C16102,표면 가공 목재 및 특정 목적용 제재목 제조업,2020-08-11,대출보증,운전자금,기업은행,1억이상 3억미만
다****,여,G46533,공작용 기계 및 장비 도매업,2020-03-20,대출보증,운전자금,기업은행,1억미만
세****,여,F42202,건물용 기계ㆍ장비 설치 공사업,2020-02-10,대출보증,운전자금,기업은행,1억이상 3억미만
스****,여,G45219,기타 자동차 신품 부품 및 내장품 판매업,2020-04-10,대출보증,운전자금,기업은행,1억이상 3억미만
패****,여,C16232,"목재 포장용 상자, 드럼 및 유사용기 제조업",2020-10-16,대출보증,운전자금,신한은행,3억이상 5억미만
구****,여,G46531,농림업용 기계 및 장비 도매업,2020-11-19,대출보증,운전자금,신한은행,1억이상 3억미만
더****,여,G46443,화장품 및 화장용품 도매업,2020-05-29,대출보증,운전자금,기업은행,1억미만
밀****,여,G46329,기타 가공식품 도매업,2020-04-23,대출보증,운전자금,기업은행,1억이상 3억미만
신****,여,C28123,배전반 및 전기 자동제어반 제조업,2020-10-30,대출보증,운전자금,기업은행,1억이상 3억미만
세****,여,G46413,남녀용 겉옷 및 셔츠 도매업,2020-04-29,대출보증,운전자금,신한은행,1억미만
봄****,부,C33910,간판 및 광고물 제조업,2020-11-25,대출보증,운전자금,신한은행,1억이상 3억미만
영****,여,C13213,화학섬유직물 직조업,2020-04-29,대출보증,운전자금,신한은행,1억이상 3억미만
봄****,부,G47121,슈퍼마켓,2020-03-20,대출보증,운전자금,기업은행,1억미만
메****,여,G46442,의료용품 도매업,2020-10-13,대출보증,운전자금,기업은행,5억이상
거****,여,F42202,건물용 기계ㆍ장비 설치 공사업,2020-06-05,대출보증,운전자금,신한은행,1억이상 3억미만
벧****,여,N76310,건설 및 토목공사용 기계ㆍ장비 임대업,2020-10-14,대출보증,운전자금,기업은행,1억이상 3억미만
완****,부,G47912,전자상거래 소매업,2020-10-29,대출보증,운전자금,기업은행,1억미만
서****,여,C25923,도장 및 기타 피막처리업,2020-05-29,대출보증,운전자금,기업은행,1억이상 3억미만
동****,여,G46313,육류 도매업,2020-04-24,대출보증,운전자금,기업은행,1억이상 3억미만
영****,여,R91132,체력단련시설 운영업,2020-06-18,대출보증,운전자금,기업은행,1억미만
그****,여,P85669,기타 기술 및 직업훈련학원,2020-02-28,대출보증,운전자금,기업은행,1억미만
도****,여,C10794,두부 및 유사식품 제조업,2020-03-18,대출보증,운전자금,기업은행,1억이상 3억미만
서****,부,G47711,운송장비용 주유소 운영업,2020-04-09,대출보증,운전자금,기업은행,1억이상 3억미만
이****,여,G46611,원목 및 건축관련 목제품 도매업,2020-05-22,대출보증,운전자금,기업은행,1억이상 3억미만
진****,여,F42311,일반전기 공사업,2020-05-12,대출보증,운전자금,기업은행,1억이상 3억미만
베****,여,M72122,환경 관련 엔지니어링 서비스업,2020-10-27,대출보증,운전자금,기업은행,1억미만
태****,부,G46791,재생용 재료 수집 및 판매업,2020-06-15,대출보증,운전자금,신한은행,1억미만
지****,여,C10122,육류 포장육 및 냉동육 가공업 (가금류 제외),2020-05-19,대출보증,운전자금,대구은행,1억이상 3억미만
쎈****,부,G46733,플라스틱물질 및 합성고무 도매업,2020-10-28,대출보증,운전자금,신한은행,1억미만
진****,여,C30399,그 외 자동차용 신품 부품 제조업,2020-05-25,대출보증,운전자금,신한은행,1억이상 3억미만
단****,여,G47912,전자상거래 소매업,2020-09-24,대출보증,운전자금,신한은행,1억이상 3억미만
가****,여,G46699,그 외 기타 건축자재 도매업,2020-05-20,대출보증,운전자금,신한은행,1억이상 3억미만
라****,여,C18119,기타 인쇄업,2020-07-07,대출보증,운전자금,신한은행,1억이상 3억미만
랩****,여,N75992,"전시, 컨벤션 및 행사 대행업",2020-12-07,대출보증,운전자금,기업은행,1억이상 3억미만
유****,여,G46313,육류 도매업,2020-04-21,대출보증,운전자금,기업은행,1억이상 3억미만
에****,여,C28123,배전반 및 전기 자동제어반 제조업,2020-06-03,대출보증,운전자금,기업은행,1억이상 3억미만
프****,여,G46329,기타 가공식품 도매업,2020-04-28,대출보증,운전자금,신한은행,1억이상 3억미만
한****,여,C25921,금속 열처리업,2020-05-08,대출보증,운전자금,기업은행,1억미만
한****,여,C25921,금속 열처리업,2020-05-13,대출보증,운전자금,기업은행,1억미만
크****,여,M71393,"광고물 문안, 도안, 설계 등 작성업",2020-04-01,대출보증,운전자금,기업은행,1억이상 3억미만
티****,부,G46510,"컴퓨터 및 주변장치, 소프트웨어 도매업",2020-08-07,대출보증,운전자금,신한은행,1억미만
제****,여,S96991,예식장업,2020-05-14,대출보증,운전자금,기업은행,1억이상 3억미만
남****,여,C29176,"증류기, 열교환기 및 가스발생기 제조업",2020-04-03,대출보증,운전자금,기업은행,1억이상 3억미만
가****,부,G47711,운송장비용 주유소 운영업,2020-07-31,대출보증,운전자금,신한은행,1억이상 3억미만
두****,여,C10129,육류 기타 가공 및 저장처리업 (가금류 제외),2020-08-05,대출보증,운전자금,신한은행,1억미만
비****,여,G47912,전자상거래 소매업,2020-06-05,대출보증,운전자금,신한은행,1억이상 3억미만
조****,여,C20422,"치약, 비누 및 기타 세제 제조업",2020-06-05,대출보증,운전자금,신한은행,1억이상 3억미만
농****,여,G46312,"채소류, 서류 및 향신작물류 도매업",2020-03-26,대출보증,운전자금,기업은행,1억미만
연****,부,C13994,표면처리 및 적층 직물 제조업,2020-07-14,대출보증,운전자금,기업은행,1억이상 3억미만
에****,여,C33999,그 외 기타 달리 분류되지 않은 제품 제조업,2020-02-24,대출보증,운전자금,기업은행,1억미만
에****,여,G47121,슈퍼마켓,2020-05-19,대출보증,운전자금,신한은행,1억미만
토****,여,F42412,"도배, 실내장식 및 내장 목공사업",2020-03-09,대출보증,운전자금,기업은행,3억이상 5억미만
에****,여,G46510,"컴퓨터 및 주변장치, 소프트웨어 도매업",2020-04-09,대출보증,운전자금,기업은행,1억이상 3억미만
이****,여,C25924,절삭가공 및 유사처리업,2020-09-15,대출보증,운전자금,기업은행,1억이상 3억미만
썬****,여,C28123,배전반 및 전기 자동제어반 제조업,2020-08-07,대출보증,운전자금,신한은행,1억이상 3억미만
아****,여,G47912,전자상거래 소매업,2020-09-16,대출보증,운전자금,기업은행,1억이상 3억미만
씨****,여,G46592,의료기기 도매업,2020-08-07,대출보증,운전자금,신한은행,1억이상 3억미만
생****,여,C10122,육류 포장육 및 냉동육 가공업 (가금류 제외),2020-05-20,대출보증,운전자금,기업은행,1억이상 3억미만
정****,여,G46721,1차 금속제품 도매업,2020-04-14,대출보증,운전자금,기업은행,1억이상 3억미만
상****,여,G46313,육류 도매업,2020-05-15,대출보증,운전자금,신한은행,1억이상 3억미만
서****,부,Q86202,치과 의원,2020-03-20,대출보증,운전자금,기업은행,1억이상 3억미만
다****,여,G46521,가전제품 및 부품 도매업,2020-08-14,대출보증,운전자금,기업은행,1억이상 3억미만
주****,여,G46510,"컴퓨터 및 주변장치, 소프트웨어 도매업",2020-04-28,대출보증,운전자금,신한은행,1억이상 3억미만
갯****,부,G46315,"신선, 냉동 및 기타 수산물 도매업",2020-10-20,대출보증,운전자금,기업은행,1억미만
에****,여,G47912,전자상거래 소매업,2020-08-07,대출보증,운전자금,신한은행,1억이상 3억미만
찰****,여,G46315,"신선, 냉동 및 기타 수산물 도매업",2020-05-27,대출보증,운전자금,기업은행,1억이상 3억미만
국****,여,G46800,상품 종합 도매업,2020-12-01,대출보증,운전자금,기업은행,3억이상 5억미만
서****,여,C27309,기타 광학기기 제조업,2020-09-14,대출보증,운전자금,기업은행,1억이상 3억미만
위****,여,G47912,전자상거래 소매업,2020-08-13,대출보증,운전자금,기업은행,1억이상 3억미만
위****,여,G47912,전자상거래 소매업,2020-08-20,대출보증,운전자금,기업은행,1억이상 3억미만
더****,여,P85501,일반 교과 학원,2020-04-06,대출보증,운전자금,기업은행,1억미만
그****,여,G47519,"페인트, 창호 및 기타 건설자재 소매업",2020-05-11,대출보증,운전자금,기업은행,1억이상 3억미만
에****,여,G46444,비누 및 세정제 도매업,2020-01-07,대출보증,운전자금,기업은행,1억미만
프****,여,S95211,자동차 종합 수리업,2020-02-18,대출보증,운전자금,기업은행,1억이상 3억미만
푸****,여,G46453,"서적, 잡지 및 기타 인쇄물 도매업",2020-08-12,대출보증,운전자금,신한은행,1억이상 3억미만
산****,여,G46315,"신선, 냉동 및 기타 수산물 도매업",2020-11-26,대출보증,운전자금,신한은행,1억이상 3억미만
쌍****,여,G45219,기타 자동차 신품 부품 및 내장품 판매업,2020-05-11,대출보증,운전자금,신한은행,1억이상 3억미만
하****,여,G47912,전자상거래 소매업,2020-04-06,대출보증,운전자금,기업은행,1억이상 3억미만
인****,여,F42412,"도배, 실내장식 및 내장 목공사업",2020-10-29,대출보증,운전자금,기업은행,1억이상 3억미만
케****,여,J59113,광고 영화 및 비디오물 제작업,2020-06-17,대출보증,운전자금,기업은행,1억이상 3억미만
봄****,여,G46451,"생활용 포장 및 위생용품, 봉투 및 유사 제품 도매업",2020-08-07,대출보증,운전자금,기업은행,3억이상 5억미만
한****,여,F42131,철골 및 관련 구조물 공사업,2020-11-19,대출보증,운전자금,대구은행,1억이상 3억미만
띠****,여,H49232,전세버스 운송업,2020-04-10,대출보증,운전자금,기업은행,1억이상 3억미만
더****,여,G46102,음ㆍ식료품 및 담배 중개업,2020-03-23,대출보증,운전자금,기업은행,1억미만
삼****,여,G46521,가전제품 및 부품 도매업,2020-06-03,대출보증,운전자금,신한은행,1억이상 3억미만
농****,여,G46312,"채소류, 서류 및 향신작물류 도매업",2020-07-14,대출보증,운전자금,기업은행,1억이상 3억미만
진****,여,G46442,의료용품 도매업,2020-06-19,대출보증,운전자금,신한은행,1억이상 3억미만
기****,여,Q86104,한방 병원,2020-04-20,대출보증,운전자금,기업은행,1억이상 3억미만
상****,여,G46313,육류 도매업,2020-10-19,대출보증,운전자금,신한은행,3억이상 5억미만
소****,여,G46314,건어물 및 젓갈류 도매업,2020-09-28,대출보증,운전자금,기업은행,1억이상 3억미만
이****,여,G46451,"생활용 포장 및 위생용품, 봉투 및 유사 제품 도매업",2020-11-06,대출보증,운전자금,신한은행,1억이상 3억미만
피****,여,C25922,도금업,2020-10-08,대출보증,운전자금,기업은행,1억이상 3억미만
제****,여,M71310,광고 대행업,2020-09-18,대출보증,운전자금,기업은행,1억이상 3억미만
미****,여,G46522,통신ㆍ방송장비 및 부품 도매업,2020-03-04,대출보증,운전자금,기업은행,1억이상 3억미만
케****,여,J59130,"영화, 비디오물 및 방송프로그램 배급업",2020-05-27,대출보증,운전자금,기업은행,1억이상 3억미만
씨****,부,S96911,산업용 세탁업,2020-08-05,대출보증,운전자금,신한은행,1억미만
농****,여,C10713,과자류 및 코코아 제품 제조업,2020-04-03,대출보증,운전자금,기업은행,1억미만
일****,여,G46312,"채소류, 서류 및 향신작물류 도매업",2020-08-13,대출보증,운전자금,기업은행,1억이상 3억미만
스****,여,G47912,전자상거래 소매업,2020-05-15,대출보증,운전자금,신한은행,1억이상 3억미만
진****,여,G46329,기타 가공식품 도매업,2020-06-05,대출보증,운전자금,기업은행,1억이상 3억미만
지****,여,G46413,남녀용 겉옷 및 셔츠 도매업,2020-04-10,대출보증,운전자금,신한은행,1억이상 3억미만
일****,여,G46315,"신선, 냉동 및 기타 수산물 도매업",2020-08-12,대출보증,운전자금,기업은행,3억이상 5억미만
마****,부,C20202,합성수지 및 기타 플라스틱 물질 제조업,2020-09-02,대출보증,운전자금,신한은행,1억이상 3억미만
한****,여,G46201,곡물 및 유지작물 도매업,2020-12-10,대출보증,운전자금,신한은행,1억이상 3억미만
다****,여,G46313,육류 도매업,2020-09-09,대출보증,운전자금,신한은행,5억이상
동****,여,C29142,기어 및 동력전달장치 제조업,2020-01-30,대출보증,운전자금,기업은행,1억이상 3억미만
유****,여,G47712,운송장비용 가스 충전업,2020-09-01,대출보증,운전자금,기업은행,1억이상 3억미만
태****,여,F42311,일반전기 공사업,2020-04-08,대출보증,운전자금,기업은행,1억미만
한****,부,G46699,그 외 기타 건축자재 도매업,2020-04-27,대출보증,운전자금,신한은행,1억이상 3억미만
씨****,여,G46203,사료 도매업,2020-09-16,대출보증,운전자금,기업은행,1억이상 3억미만
아****,여,G46800,상품 종합 도매업,2020-09-04,대출보증,운전자금,기업은행,5억이상
알****,여,F42420,유리 및 창호 공사업,2020-04-09,대출보증,운전자금,기업은행,1억이상 3억미만
주****,여,G46315,"신선, 냉동 및 기타 수산물 도매업",2020-07-14,대출보증,운전자금,신한은행,1억이상 3억미만
넥****,여,G46313,육류 도매업,2020-04-03,대출보증,운전자금,기업은행,1억이상 3억미만
앤****,여,G46522,통신ㆍ방송장비 및 부품 도매업,2020-11-20,대출보증,운전자금,신한은행,3억이상 5억미만
국****,여,G46323,"빵류, 과자류, 당류, 초콜릿 도매업",2020-06-12,대출보증,운전자금,대구은행,1억이상 3억미만
에****,여,G47711,운송장비용 주유소 운영업,2020-04-29,대출보증,운전자금,기업은행,1억이상 3억미만
초****,여,I56121,중식 음식점업,2020-05-08,대출보증,운전자금,기업은행,5억이상
모****,여,G46791,재생용 재료 수집 및 판매업,2020-06-29,대출보증,운전자금,기업은행,1억미만
진****,여,F42132,콘크리트 및 철근 공사업,2020-09-28,대출보증,운전자금,신한은행,1억이상 3억미만
농****,여,G46321,육류 가공식품 도매업,2020-02-11,대출보증,운전자금,기업은행,1억이상 3억미만
덕****,여,G46331,주류 도매업,2020-11-23,대출보증,운전자금,기업은행,1억이상 3억미만
제****,여,G45212,자동차용 전용 신품 부품 판매업,2020-11-27,대출보증,운전자금,기업은행,1억이상 3억미만
해****,여,F42131,철골 및 관련 구조물 공사업,2020-05-18,대출보증,운전자금,기업은행,1억이상 3억미만
더****,여,C26299,그 외 기타 전자부품 제조업,2020-10-13,대출보증,운전자금,기업은행,1억이상 3억미만
둥****,여,C10302,과실 및 그 외 채소 절임식품 제조업,2020-10-07,대출보증,운전자금,기업은행,1억이상 3억미만
퓨****,여,C26429,기타 무선 통신장비 제조업,2020-11-09,대출보증,운전자금,신한은행,1억이상 3억미만
대****,여,C10122,육류 포장육 및 냉동육 가공업 (가금류 제외),2020-11-30,대출보증,운전자금,기업은행,1억이상 3억미만
농****,여,G46312,"채소류, 서류 및 향신작물류 도매업",2020-07-23,대출보증,운전자금,기업은행,1억이상 3억미만
동****,부,G46721,1차 금속제품 도매업,2020-09-03,대출보증,운전자금,기업은행,1억이상 3억미만
한****,여,E38311,금속류 해체 및 선별업,2020-08-25,대출보증,운전자금,기업은행,1억미만
다****,여,G46329,기타 가공식품 도매업,2020-03-30,대출보증,운전자금,기업은행,1억이상 3억미만
다****,여,G46329,기타 가공식품 도매업,2020-03-31,대출보증,운전자금,기업은행,1억이상 3억미만
더****,여,G46599,그 외 기타 기계 및 장비 도매업,2020-12-01,대출보증,운전자금,신한은행,1억이상 3억미만
선****,여,G46203,사료 도매업,2020-12-03,대출보증,운전자금,신한은행,1억이상 3억미만
이****,여,G46201,곡물 및 유지작물 도매업,2020-06-12,대출보증,운전자금,신한은행,3억이상 5억미만
한****,여,C28422,일반용 전기 조명장치 제조업,2020-04-29,대출보증,운전자금,기업은행,1억이상 3억미만
농****,여,G47211,"곡물, 곡분 및 가축 사료 소매업",2020-05-19,대출보증,운전자금,기업은행,1억이상 3억미만
여****,여,C24199,그 외 기타 1차 철강 제조업,2020-07-31,대출보증,운전자금,기업은행,1억이상 3억미만
프****,여,G46595,전기용 기계ㆍ장비 및 관련 기자재 도매업,2020-03-19,대출보증,운전자금,기업은행,1억이상 3억미만
공****,여,G47512,공구 소매업,2020-09-17,대출보증,운전자금,기업은행,1억이상 3억미만
서****,여,G46441,의약품 도매업,2020-06-23,대출보증,운전자금,신한은행,1억이상 3억미만
카****,여,G47912,전자상거래 소매업,2020-05-06,대출보증,운전자금,기업은행,1억이상 3억미만
카****,여,G47912,전자상거래 소매업,2020-05-12,대출보증,운전자금,기업은행,1억이상 3억미만
엠****,여,C27192,정형외과용 및 신체보정용 기기 제조업,2020-06-12,대출보증,운전자금,기업은행,1억미만
디****,여,C25112,구조용 금속 판제품 및 공작물 제조업,2020-04-29,대출보증,운전자금,신한은행,1억이상 3억미만
명****,여,G45120,중고 자동차 판매업,2020-04-23,대출보증,운전자금,기업은행,1억이상 3억미만
와****,여,G46413,남녀용 겉옷 및 셔츠 도매업,2020-04-28,대출보증,운전자금,기업은행,1억이상 3억미만
신****,부,G46329,기타 가공식품 도매업,2020-12-09,대출보증,운전자금,기업은행,1억이상 3억미만
지****,여,G46521,가전제품 및 부품 도매업,2020-05-15,대출보증,운전자금,기업은행,1억이상 3억미만
미****,여,F42322,내부 통신배선 공사업,2020-09-08,대출보증,운전자금,기업은행,1억이상 3억미만
원****,부,C25122,금속탱크 및 저장용기 제조업,2020-07-27,대출보증,운전자금,신한은행,1억이상 3억미만
엘****,여,G46800,상품 종합 도매업,2020-10-30,대출보증,운전자금,신한은행,1억이상 3억미만
유****,여,G46721,1차 금속제품 도매업,2020-03-30,대출보증,운전자금,기업은행,1억미만
탑****,여,G46413,남녀용 겉옷 및 셔츠 도매업,2020-04-02,대출보증,운전자금,신한은행,1억이상 3억미만
제****,여,G47414,셔츠 및 블라우스 소매업,2020-06-19,대출보증,운전자금,기업은행,1억이상 3억미만
에****,여,C22292,"플라스틱 적층, 도포 및 기타 표면처리 제품 제조업",2020-09-23,대출보증,운전자금,기업은행,1억이상 3억미만
코****,여,G46419,기타 생활용 섬유 및 직물제품 도매업,2020-11-04,대출보증,운전자금,기업은행,3억이상 5억미만
도****,부,Q86104,한방 병원,2020-02-25,대출보증,운전자금,기업은행,5억이상
푸****,여,E38322,비금속류 원료 재생업,2020-05-18,대출보증,운전자금,기업은행,1억이상 3억미만
피****,여,C14191,셔츠 및 블라우스 제조업,2020-11-19,대출보증,운전자금,신한은행,1억이상 3억미만
만****,여,N74211,건축물 일반 청소업,2020-10-28,대출보증,운전자금,대구은행,1억이상 3억미만
엘****,여,G46800,상품 종합 도매업,2020-07-15,대출보증,운전자금,신한은행,1억미만
대****,여,G46712,액체연료 및 관련제품 도매업,2020-12-01,대출보증,운전자금,기업은행,1억이상 3억미만
어****,여,M71310,광고 대행업,2020-06-05,대출보증,운전자금,신한은행,1억미만
더****,여,G47912,전자상거래 소매업,2020-11-06,대출보증,운전자금,기업은행,1억이상 3억미만
디****,여,F42412,"도배, 실내장식 및 내장 목공사업",2020-12-30,대출보증,운전자금,기업은행,1억이상 3억미만
휴****,여,G47912,전자상거래 소매업,2020-08-21,대출보증,운전자금,기업은행,1억이상 3억미만
깽****,부,G47912,전자상거래 소매업,2020-10-07,대출보증,운전자금,기업은행,1억미만
유****,부,G46621,배관 및 냉ㆍ난방장치 도매업,2020-09-15,대출보증,운전자금,신한은행,1억미만
신****,여,G46315,"신선, 냉동 및 기타 수산물 도매업",2020-08-06,대출보증,운전자금,기업은행,3억이상 5억미만
와****,여,C14411,스타킹 및 기타 양말 제조업,2020-09-09,대출보증,운전자금,신한은행,1억이상 3억미만
